"ZIP","ListPrice","BEDS","price_per_bed"
"55405","1465000.0","5.0","293000.0"
"55416","1049450.0","4.0","262362.5"
"55410","754950.0","4.0","188737.5"
"55129","319000.0","2.0","159500.0"
"55105","360000.0","3.0","120000.0"
"55126","464400.0","4.0","116100.0"
"55116","329900.0","3.0","109966.666667"
"55408","320500.0","3.0","106833.333333"
"55419","319900.0","3.0","106633.333333"
"55409","354900.0","4.0","88725.0"
"55113","214000.0","3.0","71333.3333333"
"55413","210000.0","3.0","70000.0"
"55108","209900.0","3.0","69966.6666667"
"55417","209900.0","3.0","69966.6666667"
"55407","189900.0","3.0","63300.0"
"55406","183900.0","3.0","61300.0"
"55418","175000.0","3.0","58333.3333333"
"55102","174900.0","3.0","58300.0"
"55404","160000.0","3.0","53333.3333333"
"55107","159500.0","3.0","53166.6666667"
"55118","155900.0","3.0","51966.6666667"
"55104","153334.0","3.0","51111.3333333"
"55119","144900.0","3.0","48300.0"
"55117","139900.0","3.0","46633.3333333"
"55106","129900.0","3.0","43300.0"
"55421","147400.0","3.5","42114.2857143"
"55130","124900.0","3.0","41633.3333333"
"55430","124900.0","3.0","41633.3333333"
"55114","150000.0","4.0","37500.0"
"55103","104550.0","3.0","34850.0"
"55411","99900.0","3.0","33300.0"
"55412","90000.0","3.0","30000.0"
"55101","67400.0","2.5","26960.0"
